id,title,content,created_at,public,session_id,slug,category,emoji
04764b91-2081-494c-a859-f7f6f18f0cfa,Things I Use,"I've always found it remarkably helpful when other people share the things they find the most value in or are happiest with in their life. 

I would instantly rebuy any of the below proucts if they broke/got lost.

Hopefully you find something in here that will make your life easier

### Tech
- [Macbook Air M2](https://www.apple.com/macbook-air/): The M series of chips are absolutely absurd. All day battery life and incredible build quality
- [Philips 346E2CUAE 34"" Curved](https://www.amazon.com/dp/B08KFSMGJ8): I used to be a two monitor guy, but a single unified screen makes everything feel a bit more focused. With USB-C power delivery too I don't think I could go back
- [Anker Magsafe Battery](https://www.anker.com/products/a1664-maggo-10000mah-power-bank?variant=44058070515862): Not used much day to day, but when I'm traveling this is a game changer. Plus a little stand to let me watch movies
- [Logitech C920](https://www.amazon.com/Logitech-Widescreen-Calling-Recording-Desktop/dp/B006JH8T3S): The Toyota Camry of webcams

### Day to Day
- [Leuchtturm 1917 Notebooks](https://www.leuchtturm1917.us/classic-notebooks-1.html): Somehow significantly better than moleskine. I like how wide they are and the paper quality is incredible. Everything I write down is in one of these
- [Tul Pens](https://www.amazon.com/TUL-Retractable-Medium-Point-Barrel/dp/B002VLH6NU?linkId=9d385e772e529ad4d476deb28bc65658&sr=8-5): They're not the nicest or most expensive pens out there but the blue is a remarkable color and they write very nicely

### Coffee
- [Breville Touch Impress](https://www.breville.com/en-us/product/bes881): Maybe not the most advanced espresso machine in the world, but it pulls nice, clean shots and is super easy for someone not coffee inclined (my wife) to pull shots
- [Fellow Stagg EKG Electric Kettle](https://fellowproducts.com/products/stagg-ekg-electric-pour-over-kettle?variant=31212442583140): Beautiful? Yeah. Excpetionally built? Yeah. Overpriced? Yeah. Would I buy it again? Yeah.
- [Chemex](https://chemexcoffeemaker.com/products/six-cup-classic-chemex) and [Aeropress](https://aeropress.com/products/aeropress-coffee-maker) are my other go tos. When I use them I use my [Baratza Encore grinder](https://www.baratza.com/en-us/product/encore-zcg485) too

### Software
- [Claude Code](https://claude.ai/download): The command line tool that's replaced my need to context-switch between terminal and IDE. Hard to beat getting work done while making coffee
- [Cursor](https://cursor.sh/): Best AI-native code editor. Tab completion actually works, the chat is fast, and multi-file edits don't break things. Worth the switch from VS Code
- [Arc Browser](https://arc.net/): Changed how I think about browsing. Spaces keep work organized, split view is perfect for debugging, and command bar means I barely touch my mouse. Can't go back to Chrome

### Watches I love (that I can afford)
- [Moonswatch](https://www.swatch.com/en-us/bioceramic-moonswatch-collection/bioceramic-moonswatch.html): A gift from some very dear friends that I absolutely adore. My only chronograph and it offers a nice burst of color
- [Timex Expedition Solar](https://timex.com/products/expedition-field-post-solar-41mm-recycled-fabric-strap-watch-tw2v03700): All three colorways are incredibly nice but I went with the green 
- [Casio CA53W](https://www.amazon.com/Casio-Mens-CA53W-1-Calculator-Watch/dp/B000GB1R7S?sr=8-1): Man, this thing fucks
",2025-11-17 08:00:01+00,true,,things-i-use,7,🛠️
102a5e76-d48d-458c-b92b-4cd5ba4bfd62,,,2025-11-22 03:48:31.833+00,false,2582a11f-7e27-454e-a4fe-9e00336829c4,new-note-102a5e76-d48d-458c-b92b-4cd5ba4bfd62,today,👋🏼
226da59c-430f-46d1-a4de-a4fb9a945b00,Favorite Things,"## A random collection of some of the things that bring me joy

### Books
Far from exhaustive but a good glimpse into what makes me tick
- [The Last Lecture](https://www.amazon.com/Last-Lecture-Randy-Pausch/dp/1401323251) by Randy Pausch
- Anything by Stephen King, particularly [The Stand](https://www.amazon.com/Stand-King-Stephen-Reprint-Paperback/dp/B00I8Y7P6M?sr=8-3)
- [On the Edge, The Art of Risking Everything](https://www.amazon.com/Edge-Art-Risking-Everything-ebook/dp/B0CQSC9J12?nsdOptOutParam=true&sr=8-1) by Nate Silver
- [Running with the Buffaloes](https://www.amazon.com/Running-Buffaloes-University-Colorado-Cross-Country-ebook/dp/B004HD49Q2?sr=8-1) by Chris Lear
- [The Hitchhiker's Guide to the Galaxy](https://www.amazon.com/Hitchhikers-Guide-Galaxy-Book-Set/dp/B015W3TV5O?sr=8-4) by Douglas Adams
- [When the Game was Ours](https://www.amazon.com/When-Game-Ours-Larry-Bird/dp/0547394586?sr=8-1) by Larry Bird, Magic Johnson, and Jackie McMullan
- [The Drunkard's Walk: How Randomness Rules Our Lives](https://www.amazon.com/Drunkards-Walk-Randomness-Rules-Lives-ebook/dp/B001NXK1XO?sr=8-1) by Leonard Mlodinow
- [Casino Royale](https://www.amazon.com/Russia-Casino-Diamonds-Forever-Goldfinger/dp/0905712536?sr=8-5) by Ian Flemming
- [Poor Charlie's Almanack](https://press.stripe.com/poor-charlies-almanack) by Peter. D. Kaufman

### Movies
- Ocean's 11

>Danny: Because the house always wins. Play long enough, you never change the stakes, the house takes you. Unless, when that perfect hand comes along, you bet big, and then you take the house.

>[another pause]

>Rusty: Been practicing that speech, haven't you?

>Danny: Little bit. Did I rush it? Felt like I rushed it.

- The Pink Panther
- Margin Call

### Casinos to play poker at
- Hustler Casino in LA
- Portland Meadows in Portland, OR
- The Wynn in Las Vegas

### Sports
- Milwaukee Bucks #BucksInSix
- Michigan State Basketball (I love the football team too, but man they suck right now)
- Portland Timbers 🌲

",2025-10-29 06:28:27+00,true,,fav-things,30,🌲
34c548f8-7f48-42cf-ab6b-a4c36c746c02,About Me,"I'm Austin Langlinais, a finance and supply chain professional who also consults on data/analytics projects, coaches runners, and writes.

I'm currently based in Portland with my wife Natalie and my dog (also dawg) Izzo. You'll usually find me somewhere outside—running trails, cycling up hills, or just hiking around the PNW.

### What I Do

**Consulting / Developing**  
Current Clients:

- 🏡 [Birdie Houses](https://www.birdiehouses.com/): Data & Engineering

- ⛳️ [GolfN](https://golfn.com/): Analytics, Financial Modeling, and Tokenomics

- 🎲 [Drizzle](https://drizzle.bet/): Tokenomics and Data Engineering

Past Clients:

- 🏌🏼‍♂️ [Links Golf Club](https://linksgolfclub.com/): Data Analytics and Marketing Analysis

- 📈 [Stocktwits](stocktwits.com): Financial Writing and Marketing

- 📝 [Every](every.to): Writing, Research, and Editing

**Writing / Editing**  
- I've written for startups, newsletters with 1M+ subscribers, and niche publications. Helping brands connect with their audience in a way that actually resonates.

**Coaching**  
- Coached runners from first-time 5Kers to Boston qualifiers to D1 athletes. Everyone's different, so the training is too.

### Currently

- Working at Nike in FP&A
- Consulting for international brands and startups alike
- Reading 36 books in 2025
- Finetuning my React knowledge
- Chasing a sub-5 hour century

### Other Stuff

- Passionate about coffee, reading, coaching, and my wife.

[Available for consultations](https://cal.com/austin-langlinais/30min)",2025-11-22 06:34:09+00,true,,about-me,today,🧑🏼‍💻
4b66af34-5200-47cd-b6ca-ac4109532458,Life Mottos,"## The lessons I try to live my life by

While I'm by no means an expert on life, I've come remarkably close to death twice in the last five years (one long story, one short story), so I can at least tell you what I was thinking about when *I* thought I was on my death bed 

This advice is certainly not one size fits all, but feel free to take (or leave) the below.

- Always take the path that you'll regret the least 50 years from now

- Make your default 'yes', not 'no'

- Surround yourself with people who you couldn't imagine living without. Everything else is noise

- You make your own luck. Opportunity and preparation spread out over a large enough surface area yields pretty incredible results.

- Make sure you're never the smartest person in the room

- People remember how you made them feel

- A river re-raise is just simply never a bluff at low stakes. Gotta know when to fold 'em

- You can just do things. No really, nobody is stopping you. 

- Don't wait for others. If you have a question, go find the answer

-  Tell the people you care about 'I love you' whenever you get the chance

- Nobody thinks about you as much as yourself. Once you realize this it's pretty freeing",2025-11-23 06:40:52+00,true,,life-mottos,30,📚
650099d2-dd34-45b8-aff3-a20bb628538a,Quick Links,"
### How to get ahold of me

- 📩 [austin.b.langlinais@gmail.com](mailto:austin.b.langlinais@gmail.com):   If you write, I'll respond. 

- 🐤 [Twitter](https://x.com/alanglinais7) - Strong opinions loosely held. Mostly sport RTs but I respond to DMs

- 🧑🏼‍💻 [Github](https://github.com/alanglinais7) - Mostly private development, but I promise the squares are deep green

- 💼 [LinkedIn](https://www.linkedin.com/in/langlinais/) - Locked in on my LinkedIn (I don't post) but am responsive to DMs

- 📷 [Instagram](https://www.instagram.com/alanglinais7/) - Pictures are worth a thousand words but my captions are usually shorter than that

- 📈 [Schedule a chat/consultations](https://cal.com/austin-langlinais/30min): I'd love to connect and learn how I can help you",2025-11-22 06:23:06.056553+00,true,,quick-links,today,🔗
793c8a91-669a-4473-b24c-1ee560ec2641,How this works,"## How This Works

### Implementation
- The app uses the [Next.js](https://nextjs.org/) app router and is hosted on [Vercel](https://vercel.com/)
- The notes and note metadata are stored in [Supabase](https://supabase.com/)
- The notes are [statically generated](https://nextjs.org/docs/app/building-your-application/rendering/server-components#static-rendering-default) and get revalidated when new notes are created or updated
- The note content is stored in markdown and rendered with [react markdown](https://www.npmjs.com/package/react-markdown) 
- [Supabase RLS](https://supabase.com/docs/guides/database/postgres/row-level-security) policies are set up so that anyone can view public notes and create private notes
- New private notes get stored in Supabase with a session_id based on local storage
- Users can view, edit, & delete their own private notes and share the link with others to view
- A [pg_cron](https://supabase.com/docs/guides/database/extensions/pg_cron) job runs every day to delete empty notes that are over 12 hours old
- The swipe gestures to pin/unpin, edit, & delete notes on mobile are implemented with [react swipeable](https://www.npmjs.com/package/react-swipeable)
- The keyboard shortcuts are inspired by vim and the command menu uses [shadcn/ui command](https://ui.shadcn.com/docs/components/command)
- The OG images are [generated dynamically](https://vercel.com/guides/dynamic-text-as-image) with the note's title & emoji


### Gratitude
- Forked from Alana Goyal's open-source repo with small modifications. Available on [GitHub](https://github.com/alanagoyal/alanagoyal)",2025-10-22 06:22:29+00,true,,how-this-works,older,⚙️
7e177c27-9076-4fd0-b8f0-70333b1787c0,Test,,2025-11-22 04:31:00.416+00,false,721828ba-eff9-4d45-8289-b910e785ff85,new-note-7e177c27-9076-4fd0-b8f0-70333b1787c0,today,👋🏼
c1e55b4f-36b0-43a5-b6fe-fbdef199430b,Test2,,2025-11-22 04:31:06.25+00,false,721828ba-eff9-4d45-8289-b910e785ff85,new-note-c1e55b4f-36b0-43a5-b6fe-fbdef199430b,today,👋🏼
d890d0d0-d154-43c2-9126-ffa7e7c3dd7b,,Yo,2025-11-22 15:09:52.902+00,false,85d0bcfc-bba3-4145-ae8f-3c3639f15f9a,new-note-d890d0d0-d154-43c2-9126-ffa7e7c3dd7b,today,👋🏼
